Competition,Match,Date,Start Time,Innings,Over,Ball,Innings Ball,Batter,Batter ID,Bowler,Bowler ID,Runs,Extra Runs,Bowler Extra Runs,Extra,Penalty Runs,Runs Awarded To,Penalty,Ball Outcome,Line,Length,Shot,Feet,Secondary Feet,Connection,Delivery,Speed,Appeal Type,On-Field Decision,Referral Decision,Wicket,Dismissed Batter,FieldX,FieldY,ArrivalX,ArrivalY,Events,User Events,Around the Wicket,Keeper Up,Fielder1,Fielder1 Events,Fielder1 Position,Fielder2,Fielder2 Events,Fielder2 Position,Fielder3,Fielder3 Events,Fielder3 Position,Fielder4,Fielder4 Events,Fielder4 Position,Batting Hand,Bowler Type,Timestamp,Runs Saved or Lost,Toss Won By,Toss Decision,Ground End,Non-Striker,Non-Striker ID,Team Runs,Team Wickets,Batting Position,Power Play,Day,Session,Pitch Number,Umpire,Result,Winning Team,Losing Team,Batting Team,Bowling Team,Venue,North Boundary,South Boundary,East Boundary,West Boundary,User,Analysis Key Moment,Video Key Moment,Breaks,Temperature C,Humidity,Pressure hPa,Legal Ball,Actual Ball,Free Hit,Partnership Number,Cumulative Batter Balls,Cumulative Batter Runs,Bowling Spell,Bowling Over In Spell,Batter Coming In Over,Run Rate At Start,Run Rate After,Req Run Rate At Start,Req Run Rate After,PitchX,PitchY,ReleaseX,ReleaseY,ReleaseZ,BounceSpeed,StumpSpeed,DropSpeed,ImpactX,ImpactY,ImpactZ,LandingX,LandingY,Deviation,SwingAngle,DropAngle,BounceAngle,ReleaseAngle,ReleaseAccelerationY,ReleaseAccelerationZ,PastX,PastY,PastZ,Speed Radar,Speed External,Analyst Pitch Length,Analyst Pitch Line,External PitchX,External PitchY,Analyst Arrival Line,Analyst Arrival Height,Ball Type,Ball Colour,Pitchside Fielder 1 X,Pitchside Fielder 1 Y,Pitchside Fielder 2 X,Pitchside Fielder 2 Y,Pitchside Fielder 3 X,Pitchside Fielder 3 Y,Pitchside Fielder 4 X,Pitchside Fielder 4 Y,Pitchside Fielder 5 X,Pitchside Fielder 5 Y,Pitchside Fielder 6 X,Pitchside Fielder 6 Y,Pitchside Fielder 7 X,Pitchside Fielder 7 Y,Pitchside Fielder 8 X,Pitchside Fielder 8 Y,Pitchside Fielder 9 X,Pitchside Fielder 9 Y
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,1,1,1,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,1,0,0,,,,,,Leg Wide,Full Toss,Flick,Front Foot,,Middled,No Movement,,,,,,,246,67,55.474489795918316,92.23116501457727,,,No,No,A Patel,Ground Field Error,Short Fine leg,,,,,,,,,,RHB,RM,20250529 14:13:50.37,0,Middlesex Women,Bowl,Nursery,MAB Adams,e0a10462-51c8-4122-ace6-ab9695990d50,1,0,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,1,No,1,1,1,1,1,1,0.00,6.00,0.00,0.00,0.704,0.426,,,,,,,,,,,,,,,,,,,,,,,,0.704,0.426,,,0.48238686779059403,0.8020101305615415,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,1,2,2,MAB Adams,e0a10462-51c8-4122-ace6-ab9695990d50,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,0,0,,,,,,Leg,Full,Off Side Drive,Front Foot,,Hit Pad,In Swinger,,,,,,,165,182,15.739795918367463,17.586704373177838,"Appeal,Play and Miss",,No,No,GKS Gole,"Ground Field ",Bowler,,,,,,,,,,RHB,RM,20250529 14:14:09.783,0,Middlesex Women,Bowl,Nursery,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,1,0,2,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,2,No,1,1,0,1,1,1,6.00,3.00,0.00,0.00,2.616,0.078,,,,,,,,,,,,,,,,,,,,,,,,2.616,0.078,,,0.1368677905944997,0.1529278641145899,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,1,3,3,MAB Adams,e0a10462-51c8-4122-ace6-ab9695990d50,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,0,0,,,,,,Off,Full,Off Side Drive,Front Foot,,Middled,In Swinger,,,,,,,149,193,-42.05612244897952,47.444488629737634,,,No,No,GKS Gole,"Ground Field ",Bowler,,,,,,,,,,RHB,RM,20250529 14:14:47.943,0,Middlesex Women,Bowl,Nursery,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,1,0,2,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,3,No,1,2,0,1,1,1,3.00,2.00,0.00,0.00,3.002,-0.361,,,,,,,,,,,,,,,,,,,,,,,,3.002,-0.361,,,-0.3657054125998219,0.4125607706933707,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,1,4,4,MAB Adams,e0a10462-51c8-4122-ace6-ab9695990d50,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,0,0,,,,,,Off,Length,Off Side Drive,Front Foot,,Middled,In Swinger,,,,,,,154,193,-23.994897959183618,44.730144606414,,,No,No,GKS Gole,"Ground Field ",Bowler,,,,,,,,,,RHB,RM,20250529 14:15:14.45,0,Middlesex Women,Bowl,Nursery,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,1,0,2,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,4,No,1,3,0,1,1,1,2.00,1.50,0.00,0.00,5.624,-0.339,,,,,,,,,,,,,,,,,,,,,,,,5.624,-0.339,,,-0.20865128660159668,0.3889577791862087,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,1,5,5,MAB Adams,e0a10462-51c8-4122-ace6-ab9695990d50,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,1,0,0,,,,,,Leg,Length,Flick,Front Foot,,Middled,In Swinger,,,,,,,223,178,4.903061224489875,23.015392419825133,,,No,No,R Pindoria,Run Out Chance - Easy,Mid Wicket,,,,,,,,,,RHB,RM,20250529 14:15:38.26,0,Middlesex Women,Bowl,Nursery,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,2,0,2,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,5,No,1,4,1,1,1,1,1.50,2.40,0.00,0.00,5.514,0.041,,,,,,,,,,,,,,,,,,,,,,,,5.514,0.041,,,0.04263531499556413,0.2001338471289142,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,1,6,6,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,GKS Gole,a92fdccb-307c-4612-9c54-5c590feccd58,0,0,0,,,,,,Off,Full,Off Side Drive,Front Foot,,Middled,In Swinger,,,,,,,151,189,-22.188775510204096,32.515596501457765,,,No,No,SM Horley,"Ground Field ",Cover,,,,,,,,,,RHB,RM,20250529 14:16:07.643,0,Middlesex Women,Bowl,Nursery,MAB Adams,e0a10462-51c8-4122-ace6-ab9695990d50,2,0,1,1,1,1,,J Jarvis,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,6,No,1,2,1,1,1,1,2.40,2.00,0.00,0.00,3.388,-0.354,,,,,,,,,,,,,,,,,,,,,,,,3.388,-0.354,,,-0.19294587400177474,0.28274431740398054,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,2,1,7,MAB Adams,e0a10462-51c8-4122-ace6-ab9695990d50,KJ Wolfe,fc122ee5-a9b0-4a45-a7bc-fc577c0b0650,0,0,0,,,,,,Leg,Full,Off Side Drive,Front Foot,,Hit Pad,No Movement,,,,,,,170,174,19.352040816326507,16.229532361515993,"Appeal,Play and Miss",,No,No,,,,,,,,,,,,,RHB,RM,20250529 14:17:26.917,0,Middlesex Women,Bowl,Pavilion,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,2,0,2,1,1,1,,R Chandaria,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,1,No,1,5,1,1,1,1,2.00,1.71,0.00,0.00,3.195,-0.017,,,,,,,,,,,,,,,,,,,,,,,,3.195,-0.017,,,0.16827861579414355,0.14112636836100864,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,2,2,8,MAB Adams,e0a10462-51c8-4122-ace6-ab9695990d50,KJ Wolfe,fc122ee5-a9b0-4a45-a7bc-fc577c0b0650,0,0,0,,,,,,Line,Full,Off Side Drive,Front Foot,,Middled,Out Swinger,,,,,,,149,186,-25.80102040816314,29.80125247813416,,,No,No,GKS Gole,"Ground Field ",Extra Cover,,,,,,,,,,RHB,RM,20250529 14:17:40.997,0,Middlesex Women,Bowl,Pavilion,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,2,0,2,1,1,1,,R Chandaria,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,2,No,1,6,1,1,1,1,1.71,1.50,0.00,0.00,2.712,-0.149,,,,,,,,,,,,,,,,,,,,,,,,2.712,-0.149,,,-0.2243566992014186,0.25914132589681876,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,2,3,9,MAB Adams,e0a10462-51c8-4122-ace6-ab9695990d50,KJ Wolfe,fc122ee5-a9b0-4a45-a7bc-fc577c0b0650,0,0,0,,,,,,Leg,Full,On Side Drive,Front Foot,,Missed,Out Swinger,,,,,Bowled,MAB Adams,174,156,4.903061224489875,39.30145655976679,"Appeal,Play and Miss",,No,No,,,,,,,,,,,,,RHB,RM,20250529 14:18:46.247,0,Middlesex Women,Bowl,Pavilion,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,2,1,2,1,1,1,,R Chandaria,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,3,No,1,7,1,1,1,1,1.50,1.33,0.00,0.00,2.422,0.049,,,,,,,,,,,,,,,,,,,,,,,,2.422,0.049,,,0.04263531499556413,0.3417517961718851,Kookaburra,White,,,,,,,,,,,,,,,,,,
Vitality Blast - Women League Two,Middlesex Women v Sussex Sharks Women,29/05/2025,14:15 UTC+1,1,2,4,10,NH Harman,e307dd19-2dad-47de-b135-e57e1c93eeb3,KJ Wolfe,fc122ee5-a9b0-4a45-a7bc-fc577c0b0650,0,0,0,,,,,,Line,Length,Off Side Drive,Front Foot,,Middled,Out Swinger,,,,,,,150,191,-23.994897959183618,58.301864723032054,,,No,No,SM Horley,"Ground Field ",Extra Cover,,,,,,,,,,RHB,RM,20250529 14:19:39.993,0,Middlesex Women,Bowl,Pavilion,IV Collis,0044502c-480a-40c0-9131-67a4ed373548,2,1,3,1,1,1,,R Chandaria,Middlesex Women won by 8 wickets,Middlesex Women,Sussex Sharks Women,Sussex Sharks Women,Middlesex Women,Lord's Cricket Ground,,,,,don.shelley,,,,,,,Yes,4,No,2,1,0,1,1,2,1.33,1.20,0.00,0.00,6.010,-0.215,,,,,,,,,,,,,,,,,,,,,,,,6.010,-0.215,,,-0.20865128660159668,0.5069727367220178,Kookaburra,White,,,,,,,,,,,,,,,,,,
